sentence	label
Those are great ones	positive
"Waiting in line at a theme park to go on একটি জনপ্রিয় রাইডে. सड़क यात्रा के दौरान ट्रैफ़िक में प्रतीक्षा करना। ওয়েটিং ইন লাইন এত আ গ্রোসারি স্টোরে তো চেক আউট. 
বিমানবন্দরে ফ্লাইটে ওঠার জন্য wait করছি। kisee steshan par tren ya bas ke aane ka intazaar karana."	neutral
wow..that movie came out in 1979	neutral
Isn’t that scary?	neutral
hate^	negative
मेरे चल रहे स्वास्थ्य के मुद्दों की अथक चुनौतियों से जूझते हुए, मेरे द्वारा उठाए गए बोझ के भार को महसूस करते हुए। Āmāra sbāsthyēra calamāna saṅgrāmēra sāthē āsā kām̐cā ābēga ēbaṁ durbalatāguli bhāga karē nē'ōẏā, yārā bujhatē pārē tādēra sāthē sanyōga karāra āśāẏa. I feel like I'm missing out on so much আমি মনে করি আমার স্বাস্থ্য সমস্যার কারণে আপনে প্রিয়জন সে আরাম অর সমর্থন কি তালাশ মে জিনহোনে মেরি স্বাস্থ্য যাত্রা কে সবসে আন্ধেরে ক্ষন কে দৌরান সাহার দেনে কে লিয়ে খন্ড কিয়া। আমার শরীর যখন ক্রমাগত আমার বিরুদ্ধে কাজ করে It's hard to stay positive 	negative
Was that the one about the dolphins?  I watched that too and it made me very sad.	negative
প্রধান বাস্তব মে আমাদের খারব ভিত্তিয়া নির্ণয় ইয়া মেরে দ্বারা কে গে নিভেশ কে পরিনাম কো মেহসুস কর রাহা হুন। এটা আমার কাঁধের উপর একটি huge weight মত যা দূরে যাবে না I keep beating myself up for not being বুদ্ধিমান বা আরও সতর্ক, but it's too late now.  मुझे नहीं पता कि मैं खुद को इस छेद से कैसे निकालूंगा, और यह मेरे मानसिक स्वास्थ्य पर असर डालने लगा है। Kēna āmākē ēmana bōkā bhula karatē halō?	negative
Hi! I've had a bad day and I am looking for some comedy's to watch.	negative
OMG we were thinking the same thing LOL	neutral
you have a nice day. goodbye	positive
একটি গুরুত্বপূর্ণ পরীক্ষায় ব্যর্থ হওয়া একটি হতাশাজনক এবং হতাশাজনক অভিজ্ঞতা হতে পারে especially after putting in diligent preparation.  মুঝে লাগ রাহিহে কি মেরে জিবানকা লাকস মুজছে ছিন গায়া  निराश और पराजित महसूस करना आसान हो सकता है, लेकिन यह याद रखना महत्वपूर्ण है कि यह एक बड़ी यात्रा में सिर्फ एक झटका है। Take the time to reflect on what went wrong and identify areas for improvement, তবে এটির জন্য নিজেকে মারবেন না ato kosto kore  prostuti near por o ami  DU te porar sujog pelam mone hocche amr jibon ar r  mulloi nai	negative
It was bad.	negative
?	neutral
I did see the Winchester (2018), but it god really bad reviews.	negative
মেন ইউ ছুটে হুয়ে অবসার ইয়া মেরে দ্বারা কি গাই নির্নয় কে বারে মেন সোচনা ব্যান্ড নয় কার সাকতা। ইয়াহ এক নিরন্তর স্টিং কি তারাহ হ্যায় জো দরজা না যায়েগা। আমি আমার মাথায় বারবার replaying the situation করতে থাকি, ভাবছি যে আমি যদি জিনিসগুলি অন্যভাবে করতাম তবে কী হতে পারত। I feel so রাগান্বিত এবং হতাশ in myself for not seeing the bigger picture at the time.  यह ऐसा है जैसे मैं पछतावे की इस दलदल में फंस गया हूं और कोई रास्ता नहीं है Kēna āmi sabasamaẏa jinisaguli ēlōmēlō karatē habē?	negative
হাল হি মে বিবিষ্য কা অনিশ্চিততা সে অভিভূত মেহসুস কর রাহা হুন। কী ঘটতে চলেছে বা কোথায় আমরা end up করব তা না জানা tough But I'm trying to remind myself that this feeling won't স্থায়ী forever and that I have the শক্তি to handle whatever comes my way.   मैं इन अनिश्चित समय के दौरान अपने प्रियजनों के समर्थन के लिए आभारी हूं। Āsuna āmarā sabā'i ēkē ēkē ēkē ēkē dina ēbaṁ manē rākhi yē āmarā yataṭā bhābi tāra cēẏē bēśi śaktiśālī. #Aniścaẏatā#kr̥tajña#śakti#onedayatatime	negative
अमूर्त कला प्रदर्शनी में खुद को डुबोते हुए चिंतन के एक क्षण में संलग्न होना। Ēkaṭi cittākarṣaka bimūrta ārṭa'ōẏārkē jānānō śakti ēbaṁ āndōlana dbārā mugdha.Ēkaṭi cittākarṣaka bimūrta ārṭa'ōẏārkē jānānō śakti ēbaṁ āndōlana dbārā mugdha. Reflecting on the thought-provoking colors and গ্যালারিতে টেক্সচারের প্রতিফলন। এক অমূর্ত করতি কে ভীতর অদ্বিতীয় রচনা অর অর্থ কী পারাতন মেইন প্রেরণা ধুন্ধান একটি বিমূর্ত আর্টওয়ার্কের মুখোমুখি হওয়ার রূপান্তরমূলক অভিজ্ঞতা ভাগ করে নেওয়া  that sparks curiosity and introspection.	neutral
It has millionaire in the title so it must not be too sad LOL	negative
Hi there!	neutral
How are you today?	neutral
একটি টাইট সময়সীমা পূরণ করার জন্য সংগ্রাম করা  can be a challenging and stressful experience. টি প্রেসার তো ডেলিভার ক্যান লিড তো ফিলিংস অফ ওভারওহেল্ম, এনসিএটি, এন্ড ফ্রুস্ট্রেশন.  इसके लिए जीवन के अन्य क्षेत्रों में लंबे समय, गहन ध्यान और बलिदान की आवश्यकता हो सकती है। The fear of failure or not meeting expectations মানসিক চাপ বাড়াতে পারে। apane svaasthy ko praathamikata dena yaad rakhen aur yadi dabaav bahut adhik ho jae to sahaayata len.	negative
Have you seen any of the Hunger Games movies? The Hunger Games  (2012), The Hunger Games: Catching Fire (2013), The Hunger Games: Mockingjay – Part 1 (2014) , or The Hunger Games: Mockingjay – Part 2 (2015)? Jennifer Lawrence is such a badass	negative
Also I have seen trailers for Happy Death Day  (2017) but I wasnt sure if it would be worth it, it looked poor quality.	negative
দো সমন রূপ সে আকর্ষক বিকাশ কে বিচ এক কাঠিন বিকাশ বনানে কে বাদ ফাটা হুয়া মহাসুস করণ। যখন কোন স্পষ্ট উত্তর না থাকে তখন এটা কঠিন, কিন্তু আমি মনে করিয়ে দিচ্ছি যে আমার  intuition বিশ্বাস রাখতে এবং আমার কাছে থাকা information দিয়ে আমার পক্ষে সেরা সিদ্ধান্ত নেওয়া I'm grateful for the সমর্থন of my loved ones during this time and for the সুযোগ to learn and grow from this experience.  आइए हम सब याद रखें कि कभी-कभी जीवन हमें कठिन विकल्पों के साथ प्रस्तुत करता है, Āmarā ēkhana'ō karuṇā ēbaṁ sāhasēra sāthē ēgiẏē yētē pāri. #Toughchoices#trustyourself#grateful#grothmindset#sāhasa	negative
How to Lose a Guy in 10 Days (2003)	neutral
Yeah it would be, like Commando  (1985)  but more recent. There is also Lethal Weapon (1987) .	positive
Hey there I am looking for a great movie for my day off	positive
Black Panther (2018) is a good popular one that's recent. I really enjoyed a lot. It is your typical action film though.	positive
Have you seen Mrs. Doubtfire (1993)?	neutral
If Bruce Willis is in it then it can't be bad right?	negative
The Champ  (1979) is the all time saddest movie.	negative
I hate to see a dog die or any animal.	negative
ইওয়েটনসেদ আন ইনক্রেডিবলয় ডিসটার্বিং আরগুম বেটোফেন ২টি স্ট্রেঞ্জার্স ইন আ পাবলিক পলিস টুডে। একটি নেতিবাচক ফেসবুক স্ট্যাটাস লেখার পরিবর্তে, আমি compassion and understanding প্রচারের জন্য একটি platform হিসাবে social media  ব্যবহার করার পরামর্শ দেব Witnessing an argument between strangers in a public place can be অস্বস্তিকর এবং উদ্বেগজনক, but it is important to শান্ত থাকা এবং avoid escalating the situation.  यदि संभव हो, तो आप हस्तक्षेप करने की कोशिश कर सकते हैं और संघर्ष में मध्यस्थता करने में मदद कर सकते हैं, या अपनी सुरक्षा सुनिश्चित करने के लिए क्षेत्र से खुद को दूर कर सकते हैं। aaie ham ek doosare ke lie shaanti aur sammaan ko protsaahit karane ke lie soshal meediya ka upayog karen.	negative
Oh, who was in the The Last Godfather (2010) ?	neutral
oh wow thats awesome	neutral
I really thought Logan  (2017) was sad.	negative
"আমি আমার বাড়িটি renew করছি  that
 has transformed my living space! আফটার মানথস  অফ প্লানিং 
এন্ড হার্ডওয়ার্ক আই ক্যান ফাইনালি সে দ্যাট মাই হোম ফিলস  লাইক এ কমপ্লিটলি নিউ এন্ড ইমপ্রুভড স্পেস। यह कई बार एक चुनौती थी, लेकिन अंत में यह इसके लायक थी। I love the way my home looks and 
feels now এবং আমি ইতিমধ্যেই এই নতুন  জায়গায় আমার সময় enjoy  করছি৷ main doston aur parivaar  ko aamantrit karne  aur apane nae punarnirmit sthaan ko dikhaane ke lie intajaar nahin kar sakata."	positive
अभी-अभी स्टेशन पहुँचा, और अभी वेटिंग एरिया में बैठा हूँ, समय काट रहा हूँ। yahaan apanee phlait mein savaar hone ka intajaar karate hue, main utsaah aur chinta ka mishran mahasoos kar raha hoon. Waiting for my train to arrive, এবং প্রত্যাশা আমার ভিতরে তৈরি হচ্ছে। ইট স ইন্টারেস্টিং টু পিপল ওয়াজ ওয়াইল ওয়েটিং ফর মাই ফ্লাইট টু বোর্ড শুধু আমার ফ্লাইটের জন্য অপেক্ষা করছি, hoping it will be on time.	neutral
"মেরে লিভিং স্পেস হামেশত্র রহতা হে ইয়ে দেখতে মুঝে বহত আচ্ছা লাগতাহে
 ""কে জানত clean করা এবং সংগঠিত করা এত থেরাপিউটিক হতে পারে?"" Cleaning and organizing may seem like a chore, তবে শেষ ফলাফলটি সর্বদা মূল্যবান ""मैंने हमेशा सुना है कि एक अव्यवस्थित स्थान एक अव्यवस्थित दिमाग के बराबर होता है, और अब मैं वास्तव में इस पर विश्वास करता हूँ।"" ""akti poriskar abong poripati barite barite ashar onuvhuti ke kisui haray na"""	positive
"আমার partner এর সাথে একটি perfect
 দিন spend করেছি যা ভালবাসা এবং হাসিতে ভরা ছিল এটি ছিল আমাদের সম্পর্কের একটি magical moment। ফ্রোম এঞ্জয়ং এ ডিলেসিয়া
স ব্রেকফাস্ট টু টেকিং এ লং ওয়াক ইন পার্ক  এভরিথিং ওয়াজ  পারফেক্ট। हमने खूब हंसी-मजाक किया, गहरी बातचीत की और खूबसूरत यादें बनाईं। As the sun set,  আমরা সমুদ্র   সৈকতে
 বসেছিলাম and watched the waves crash onto the shore, feeling grateful for this moment and each other. vaastav mein yah hamesha
 ke lie sanjone ka din tha!"	positive
समर्थन के एक महत्वपूर्ण स्रोत को खोने के बाद अपने पैर जमाने के लिए संघर्ष कर रहा हूं। Ēkaṭi ullēkhayōgya kṣatira pariprēkṣitē āmāra jībana punarnirmāṇa ēbaṁ samarthanēra natuna utsa khum̐jē bēra karāra cēṣṭā karachi. Feeling like my world has been shattered into a million pieces  এবং আমি জানি না কিভাবে একে আবার একত্রিত করব সমর্থন কে এক মাহাত্বপূর্ণ স্রোত কো খোনে অর শুনি ক ভারানে কে লিএ সংঘর্ষ কারণে কী ভাবনাত্মক উথাল-পাথাল কে সাথে কুস্তী. মনে হচ্ছে আমার জীবনের I've lost a part of myself after this major loss	negative
ইয়াদি আপানে খুদ কি চুনৌতি কা সামনা কর রহে হ্যায়, তো জান লেন কি আপ ইসসে উবারনে মে সাক্ষম হ্যায়। আমরা একসাথে বসেছিলাম এবং আমি তাদের বলেছিলাম যে সময়টা আমরা siblings রা এবং আমি তাদের বাড়ির উঠানে ফোর্ট তৈরি করেছি এবং সারাদিন খেলায় কাটিয়েছি I could see the wonder and excitement in their eyes as they listened to my গল্প इस तरह की यादों को साझा करना न केवल हमें एक परिवार के रूप में करीब लाता है, बल्कि आने वाली पीढ़ियों के लिए इन यादगार पलों को जीवित रखने में भी मदद करता है। Āmi dīrgha samaẏa dharē kāja karachi ēmana ēkaṭi byaktigata bādhā atikrama karāra para āja āmi nijēkē niẏē abiśbāsyabhābē garbita bōdha karachi	positive
I think The Shallows  (2016) is decent.	neutral
Oh now you're talking!	neutral
Can you recommend some romantic comedies?	neutral
"अपने आरामदायक, गर्म कमरे से मौसम की पहली बर्फबारी को देखना स्वयं माँ प्रकृति के आलिंगन में लिपटे होने जैसा था। meree khidakee ke baahar barph ke tukade ko naachate aur ghumaate hue dekhana ek anusmaarak tha jo hamaare aasapaas kee sundarata ko dheema karane aur usakee saraahana karane ke lie tha. It's like পৃথিবীটা একটা transformed into a work of art. দা স্নো আউটসাইড ওয়াচ লাইক ক্যানভাস ওয়েটিং টু বি পেইন্টেড উইথ দা ফুট প্রিন্টস অফ পিপল এন্ড এনিমেলস এলাইক।

 ঋতুর প্রথম তুষারপাত always feels like a fresh start"	positive
seen super bad and knocked up also	negative
how are you?	neutral
Disney is awesome	neutral
"""मैं कभी नहीं जानता था कि दिल टूटना अब तक इतना कष्टदायी हो सकता है। आपके लिए मेरी सभी भावनाओं और भावनाओं को बिना पढ़े छोड़ दिया गया है और मैं यहाँ टूटे हुए दिल के साथ रह गया हूँ। mujhe aisa lagata hai ki main tumhen chaahane ke kabhee na khatm hone vaale chakr mein phans gaya hoon, lekin kabhee bhee tumhen paane mein saksham nahin hoon. I thought my love for you was enough,কিন্তু দেখা যাচ্ছে তা ছিল না। ইট ইজ টাফ টু বি ইন লাভ উইথ সামওয়ান হু ডাজন্ট লাভ ইউ বেক
 যেন আমি ভূতের প্রেমে পড়েছি। You're there, but you're not.এবং এটি আমাকে ধীরে ধীরে হত্যা করছে"	negative
like Interstellar  (2014)	positive
Well thanks for the suggestions!	neutral
Hi, what would you like to see?	positive
have you seen Bad Moms (2016) part 2? its so bad	negative
"मेरे प्रतिभाशाली बच्चे को उनके स्नातक होने पर बधाई। apane bachche ko manch par tahalate hue aur usaka diploma praapt karate hue dekhakar mera hrday aseem aanand se bhar jaata hai. Graduation day যে কোনো পিতামাতার জন্য একটি গর্বের মুহূর্ত সো প্রাউড অফ মাই চাইল্ড এন্ড অল দেয়ার হার্ডওয়ার্ক লিডিং আপ টু দিস মোমেন্ট।
 আজ একটি যাত্রার সমাপ্তি and the beginning of another. "	positive
like Love Actually (2003)	positive
Doing what we need to be done to ঠিক  the দিন आइए दिन को अपनी सामान्य दिनचर्या से निपटें और देखें कि हमारे रास्ते में क्या आता है। রুটিন ২ আ পার্ট অফ লাইফ, স লেট্'সি মেক টি মোস্ট ওফঃ ইট. প্রতিদিনের কাজ করতেও খুব ভাল লাগে যদি task গুলোকে enjoyable করা যায় yahaan tak ​​ki sabase saansaarik kaary bhee sahee maanasikata ke saath sukhad ho sakate hain.	neutral
By seeing your betrayal right now I feel like আমি দুধ কলা দিয়ে কাল সাপ পুসেছি। मेरे मित्र के विश्वासघात की खोज ने मुझे ऐसा महसूस कराया है कि मेरी पूरी दुनिया मेरे चारों ओर उखड़ गई है। ফিলিং লাইক ই'লল নেভার যে অবলে তো ট্রাস্ট অন্যনে এগেইন আফটার ময় ফ্রেন্ড'স বেত্রায়াল. আমার  close friend এর betrayal পর আমি কাউকে trust করতে পারছি না আর mere dost kee beeemaanee kee khabar ne mujhe pooree tarah se tabaah kar diya hai	negative
ই এম ফিলিং সো হ্যাপি এন্ড কনটেন্ট বেকাউসে ই জাস্ট এঞ্জয়েড আ ফেভরিট মেল এটা আ বেলভেদ রেস্টুরেন্ট উইথ গ্রেট কোম্পানি!  😍🍽️  ভাল family দ্বারা বেষ্টিত থাকাকালীন সুস্বাদু খাবারের teas নেওয়ার মতো কিছুই নেই। The conversationপ্রবাহিত effortlessly and the laughter was সংক্রামক  यह ऐसे क्षण हैं जो मुझे जीवन में साधारण सुखों को संजोने के महत्व की याद दिलाते हैं। yah restorent mere dil mein ek vishesh sthaan rakhata hai aur main vaapas aane aur adhik yaaden banaane ke lie intajaar nahin kar sakata.   #favoritefood #belovedrestaurant	positive
🍳🥗 একটি সুস্বাদু এবং সাধারণ খাবার   এর জন্য  waiting 😋🌿 টুডে, ই টুক সোমে টাইম তো প্রিপারে আ স্যাটিসফায়িং মেল ফর মাইসেলফ এন্ড ময় ফ্যামিলি. यह आश्चर्यजनक है कि कैसे कुछ सरल सामग्री एक साथ मिलकर वास्तव में आनंदमय बना सकते हैं! 🌱🍅  There's something special about the process of chopping vegetables, seasoning the dish, and  আমার নিজের রান্নাঘরে একটি সুস্বাদু মাস্টারপিস তৈরি করার 🍽️👩‍🍳 apane pasandeeda vyanjanon ya svaadisht aur jhanjhat mukt pakavaan banaane ke lie aapake paas koee sujhaav saajha karen! 🌟👩‍🍳 #simplaimaialjoy #chookingwithlovai #homaimadaihappinaiss	neutral
Yes they are. Books weren't bad either.	negative
Thanks for the movie suggestion.  Have a great day!	positive
yes, saw it and its good	positive
আপনার সঙ্গীর সাথে একটি দিন কাটানো জীবনেরmost special experiences in life. জিবান সাংগিকে সাথ হার পাল এ খাস হতাহে एक संपूर्ण दिन का मतलब अलग-अलग जोड़ों के लिए अलग-अलग हो सकता है, लेकिन इसमें अक्सर गुणवत्तापूर्ण समय, साझा रुचियां और सार्थक बातचीत शामिल होती है। Ending the day with a candlelit dinner or a cozy night in একটি দুর্দান্ত দিন কাটানোর নিখুঁত উপায় হতে পারে onek din por amra amadr bestota  theke somoy ber kore valo akta din katailm	positive
আই হাড দা প্রিভিলেজ অফ উইটনেস ওয়ান অফ নাচার্স মোস্ট ইনক্রেডিবল শোজ লাস্ট নাইট অ্যান্ড ইট লেফট মি ইন অ! সবুজ থেকে বেগুনি থেকে গোলাপি পর্যন্ত আকাশ জুড়ে colors যেভাবে নাচছে তা ছিল breathtaking It's a humbling experience to witness such a প্রাকৃতিক phenomenon a reminder of the immense সুন্দর্য and power of the world we live in इस तरह के क्षण मुझे प्रकृति के चमत्कारों की सराहना करने और आने वाली पीढ़ियों के लिए इस तरह की सुंदरता देखने के लिए हमारे ग्रह की देखभाल करने की याद दिलाते हैं। jeevan mein ek baar milane vaale is anubhav ke lie main aabhaaree mahasoos karata hoon aur sabhee ko prakrti kee vismayakaaree sundarata ko dekhane ke lie samay nikaalane ke lie protsaahit karata hoon.	positive
cf is it tq mb bb like mb Red Eye (2005)	negative
I just can't believe that আমার mistake এর কারণে appointment টা another company পেয়ে গেছে इस तरह के एक महत्वपूर्ण नियुक्ति को याद करने के बाद प्रेरणा को जारी रखना मुश्किल है। ই ক্যান'ত হেল্প বুট ওয়ান্ডার হোয়াট কোল্ড হ্যাভ বিন ইফ ই চাদঁ'ত মিসেড টি এপয়েন্টমেন্ট. আমি যদি আগে জিনিসটা খেয়াল করতাম তাহলে তো important appointment টা আমার miss করতে হতো না main yah sveekaar karane ke lie sangharsh kar raha hoon ki mainne ek mahatvapoorn niyukti kho dee hai jise main vaapas nahin pa sakata.	negative
me too	neutral
hi	neutral
i saw those but it has been a while	neutral
"আজ হাম সাভি পাররসিয়া মিলকার মৌসম কা জানকারি লে রহে হে
 ""মনে হচ্ছে today আমাদের ছাতা লাগবে।"" It's been a bit humid lately, মনে হয় না? ""आखिरकार सूरज निकल आया है, यह टहलने के लिए एक अच्छा दिन है।"" ""ami vhalobashi jokhon ati khasta abong baire thanda hoy"	neutral
"আজ হামারি বাচ্চো কি পেহেলি খুশ হে বহুত  এক্সসাইটেড হে
 ""আমি আবার একটি বাচ্চার মতো feel করেছি যে আমার ছোট একজনকে তাদের ক্রিসমাস উপহারগুলি খুলতে দেখছে। এটি আশ্চর্যজনক যে একটি শিশু ছুটির মরসুমে কতটা happiness আনতে পারে।"" I don't think anything can compare to the pure joy of a child on Christmas morning.টা জীবনে যাদু আলিঙ্গন একটি অনুস্মারক ""मुझे ऐसा लगा जैसे मैं फिर से एक बच्चे की तरह अपने छोटे बच्चे को अपने क्रिसमस उपहार खोल रहा हूँ। यह आश्चर्यजनक है कि एक बच्चा छुट्टियों के मौसम में कितना आनंद ला सकता है।"" 
""ami mone korina borodiner sokale akti sisur bisuddho anonder sathe kono kisur tulona hote pare.ati jibone jaduke alingon korar akti onusarok."""	positive
"ডিসটেন্স ইস টেলারিং ইউএস এপার্ট, এন্ড মে হার্ট ইস ব্রেকিং এখানে আমার সাথে তোমাকে ছাড়া lonely এবং lose যাওয়া বোধ করছি।"" Long distance relationships are harder than আমার কল্পনার शब्दों से ज्यादा आपकी याद आ रही है, काश हम साथ होते lambee dooree ke rishte ko kaam karane kee koshish ka sangharsh vaastavik hai."	negative
too bad the taxes got him!	negative
Sounds good I'll check them out	positive
